State,District,Population,Male_Population,Female_Population,Literacy_Rate,Area_sq_km,Population_Density,Sex_Ratio,Urban_Population,Data_Type,Reference_Year
Arunachal Pradesh,AR_District_05,31441,15395,16046,68.94,4059,7.75,1042,9682,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_06,29124,14488,14636,74.36,818,35.6,1010,5855,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_07,30606,15163,15443,73.85,3148,9.72,1018,5587,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_08,34616,17259,17357,75.41,2193,15.78,1006,9544,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_09,44838,22232,22606,70.24,4531,9.9,1017,11354,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_10,58545,28506,30039,71.8,5004,11.7,1054,11396,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_11,65829,32511,33318,69.03,2476,26.59,1025,19427,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_12,45225,22561,22664,74.07,6222,7.27,1005,13703,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_13,35855,17421,18434,75.07,4753,7.54,1058,8466,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_14,63280,31408,31872,72.39,3680,17.2,1015,14645,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_15,58587,28362,30225,69.77,6279,9.33,1066,10139,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_16,61960,30895,31065,73.03,3136,19.76,1006,12812,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_17,64378,30982,33396,75.4,4250,15.15,1078,15187,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_18,70381,34063,36318,73.69,6949,10.13,1066,20726,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_19,38239,18420,19819,70.03,1704,22.44,1076,7573,Synthetic / Simulated,2025
Arunachal Pradesh,AR_District_20,60483,29325,31158,69.32,4126,14.66,1063,12748,Synthetic / Simulated,2025
Assam,AS_District_01,61775,31786,29989,77.64,2091,29.54,943,17273,Synthetic / Simulated,2025
Assam,AS_District_02,40125,20672,19453,78.04,2279,17.61,941,14918,Synthetic / Simulated,2025
Assam,AS_District_03,57907,29876,28031,80.82,1320,43.87,938,17476,Synthetic / Simulated,2025
Assam,AS_District_04,64974,33566,31408,80.43,2226,29.19,936,25807,Synthetic / Simulated,2025
Assam,AS_District_05,82781,42955,39826,77.26,1423,58.17,927,28083,Synthetic / Simulated,2025
Assam,AS_District_06,62602,31464,31138,82.06,677,92.47,990,19777,Synthetic / Simulated,2025
Assam,AS_District_07,43035,22175,20860,77.85,1279,33.65,941,10690,Synthetic / Simulated,2025
Assam,AS_District_08,82912,42363,40549,77.26,2283,36.32,957,22501,Synthetic / Simulated,2025
Assam,AS_District_09,80118,40751,39367,77.02,2961,27.06,966,27158,Synthetic / Simulated,2025
Assam,AS_District_10,62220,32127,30093,78.39,2160,28.81,937,23254,Synthetic / Simulated,2025
Assam,AS_District_11,68307,34297,34010,76.85,973,70.2,992,23662,Synthetic / Simulated,2025
Assam,AS_District_12,57750,29364,28386,83.15,3193,18.09,967,15975,Synthetic / Simulated,2025
Assam,AS_District_13,77263,39164,38099,79.86,2630,29.38,973,24132,Synthetic / Simulated,2025
Assam,AS_District_14,85621,43526,42095,77.61,1658,51.64,967,29629,Synthetic / Simulated,2025
Assam,AS_District_15,53590,27671,25919,78.6,1105,48.5,937,20959,Synthetic / Simulated,2025
Assam,AS_District_16,74424,38358,36066,83.14,1776,41.91,940,25207,Synthetic / Simulated,2025
Assam,AS_District_17,70645,35495,35150,78.53,2189,32.27,990,22561,Synthetic / Simulated,2025
Assam,AS_District_18,65194,33050,32144,81.32,3383,19.27,973,22642,Synthetic / Simulated,2025
Assam,AS_District_19,90300,46454,43846,80.63,2217,40.73,944,25879,Synthetic / Simulated,2025
Assam,AS_District_20,87892,44788,43104,80.44,1533,57.33,962,29057,Synthetic / Simulated,2025
Bihar,BR_District_01,78928,41335,37593,61.89,427,184.84,909,23979,Synthetic / Simulated,2025
Bihar,BR_District_02,72985,38195,34790,61.41,474,153.98,911,22279,Synthetic / Simulated,2025
Bihar,BR_District_03,84297,43106,41191,63.59,521,161.8,956,24285,Synthetic / Simulated,2025
Bihar,BR_District_04,87064,45153,41911,60.98,568,153.28,928,20661,Synthetic / Simulated,2025
Bihar,BR_District_05,77414,40238,37176,64.91,615,125.88,924,15512,Synthetic / Simulated,2025
Bihar,BR_District_06,80759,42510,38249,63.57,662,121.99,900,21863,Synthetic / Simulated,2025
Bihar,BR_District_07,53047,27143,25904,63.38,709,74.82,954,11355,Synthetic / Simulated,2025
Bihar,BR_District_08,94898,48794,46104,61.31,756,125.53,945,31351,Synthetic / Simulated,2025
Bihar,BR_District_09,98262,51356,46906,64.3,803,122.37,913,32605,Synthetic / Simulated,2025
Bihar,BR_District_10,96459,50882,45577,61.92,850,113.48,896,28665,Synthetic / Simulated,2025
Bihar,BR_District_11,77111,40401,36710,60.88,897,85.97,909,17609,Synthetic / Simulated,2025
Bihar,BR_District_12,55523,29118,26405,64.55,944,58.82,907,15138,Synthetic / Simulated,2025
Bihar,BR_District_13,105050,53837,51213,60.93,991,106,951,35319,Synthetic / Simulated,2025
Bihar,BR_District_14,85543,44618,40925,66.84,1038,82.41,917,18009,Synthetic / Simulated,2025
Bihar,BR_District_15,59396,30404,28992,65.39,1085,54.74,954,18564,Synthetic / Simulated,2025
Bihar,BR_District_16,82849,42467,40382,65.59,1132,73.19,951,29244,Synthetic / Simulated,2025
Bihar,BR_District_17,102628,52767,49861,66.82,1179,87.05,945,35312,Synthetic / Simulated,2025
Bihar,BR_District_18,109901,57601,52300,64.04,1226,89.64,908,29536,Synthetic / Simulated,2025
Bihar,BR_District_19,90765,47485,43280,60.83,1273,71.3,911,20687,Synthetic / Simulated,2025
Bihar,BR_District_20,111419,57220,54199,65.49,1320,84.41,947,27954,Synthetic / Simulated,2025
Chhattisgarh,CG_District_01,35899,18765,17134,75.94,1154,31.11,913,14560,Synthetic / Simulated,2025
Chhattisgarh,CG_District_02,63329,32833,30496,73.79,3069,20.64,929,19731,Synthetic / Simulated,2025
Chhattisgarh,CG_District_03,60063,31281,28782,75.51,611,98.3,920,17289,Synthetic / Simulated,2025
Chhattisgarh,CG_District_04,58822,30514,28308,74.01,1338,43.96,928,17133,Synthetic / Simulated,2025
Chhattisgarh,CG_District_05,72187,37552,34635,76.56,876,82.41,922,26550,Synthetic / Simulated,2025
Chhattisgarh,CG_District_06,61442,32016,29426,73.25,3503,17.54,919,24588,Synthetic / Simulated,2025
Chhattisgarh,CG_District_07,59327,30972,28355,76.69,3725,15.93,916,20161,Synthetic / Simulated,2025
Chhattisgarh,CG_District_08,68893,35477,33416,73.37,809,85.16,942,24045,Synthetic / Simulated,2025
Chhattisgarh,CG_District_09,65070,33275,31795,74.44,1352,48.13,956,18333,Synthetic / Simulated,2025
Chhattisgarh,CG_District_10,63382,32528,30854,73.16,1890,33.54,949,19453,Synthetic / Simulated,2025
Chhattisgarh,CG_District_11,86551,45201,41350,71.77,1117,77.49,915,34427,Synthetic / Simulated,2025
Chhattisgarh,CG_District_12,50050,25800,24250,73.22,3814,13.12,940,16208,Synthetic / Simulated,2025
Chhattisgarh,CG_District_13,74916,39307,35609,74.55,1695,44.2,906,28448,Synthetic / Simulated,2025
Chhattisgarh,CG_District_14,48683,25621,23062,72.57,3011,16.17,900,20202,Synthetic / Simulated,2025
Chhattisgarh,CG_District_15,85430,45091,40339,77.16,2068,41.31,895,31108,Synthetic / Simulated,2025
Chhattisgarh,CG_District_16,49669,25391,24278,71.73,1782,27.87,956,21098,Synthetic / Simulated,2025
Chhattisgarh,CG_District_17,98586,51700,46886,74.63,3986,24.73,907,37703,Synthetic / Simulated,2025
Chhattisgarh,CG_District_18,84316,43995,40321,77.81,3331,25.31,916,36086,Synthetic / Simulated,2025
Chhattisgarh,CG_District_19,67057,34766,32291,77.91,2725,24.61,929,24284,Synthetic / Simulated,2025
Chhattisgarh,CG_District_20,96027,50120,45907,73.91,4182,22.96,916,36977,Synthetic / Simulated,2025
Goa,GA_District_01,10899,5578,5321,88.3,6186,1.76,954,6934,Synthetic / Simulated,2025
Goa,GA_District_02,38977,19685,19292,91.69,3102,12.57,980,24551,Synthetic / Simulated,2025
Goa,GA_District_03,34406,17489,16917,86.93,582,59.12,967,22638,Synthetic / Simulated,2025
Goa,GA_District_04,55080,27751,27329,87.13,5548,9.93,985,32316,Synthetic / Simulated,2025
Goa,GA_District_05,23627,12175,11452,89.97,4506,5.24,941,13231,Synthetic / Simulated,2025
Goa,GA_District_06,36461,18275,18186,90.78,6078,6,995,25319,Synthetic / Simulated,2025
Goa,GA_District_07,25707,13226,12481,90.97,5343,4.81,944,16783,Synthetic / Simulated,2025
Goa,GA_District_08,34205,17613,16592,90.82,5958,5.74,942,19673,Synthetic / Simulated,2025
Goa,GA_District_09,59622,30901,28721,91.37,1303,45.76,929,32370,Synthetic / Simulated,2025
Goa,GA_District_10,34530,17728,16802,89.02,1743,19.81,948,20199,Synthetic / Simulated,2025
Goa,GA_District_11,26481,13676,12805,86.25,1968,13.46,936,18151,Synthetic / Simulated,2025
Goa,GA_District_12,52002,26145,25857,92.28,1599,32.52,989,32455,Synthetic / Simulated,2025
Goa,GA_District_13,39511,19966,19545,90.77,6149,6.43,979,25730,Synthetic / Simulated,2025
Goa,GA_District_14,63503,32954,30549,91.35,3103,20.47,927,37097,Synthetic / Simulated,2025
Goa,GA_District_15,53152,27460,25692,91.82,6953,7.64,936,34220,Synthetic / Simulated,2025
Goa,GA_District_16,30169,15334,14835,86.84,4224,7.14,967,20215,Synthetic / Simulated,2025
Goa,GA_District_17,43447,22335,21112,90.94,3289,13.21,945,29777,Synthetic / Simulated,2025
Goa,GA_District_18,29550,15236,14314,91.73,6408,4.61,939,19905,Synthetic / Simulated,2025
Goa,GA_District_19,62838,32449,30389,91.52,4574,13.74,937,35677,Synthetic / Simulated,2025
Goa,GA_District_20,60122,30401,29721,90.03,6310,9.53,978,40708,Synthetic / Simulated,2025
Gujarat,GJ_District_01,82186,43395,38791,82.73,787,104.43,894,44994,Synthetic / Simulated,2025
Gujarat,GJ_District_02,55955,29448,26507,82.12,766,73.05,900,25934,Synthetic / Simulated,2025
Gujarat,GJ_District_03,70508,36149,34359,81.75,1021,69.06,950,31090,Synthetic / Simulated,2025
Gujarat,GJ_District_04,96122,50399,45723,83.06,914,105.17,907,41476,Synthetic / Simulated,2025
Gujarat,GJ_District_05,63064,32694,30370,87.37,995,63.38,929,28905,Synthetic / Simulated,2025
Gujarat,GJ_District_06,98915,52165,46750,81.84,1015,97.45,896,48704,Synthetic / Simulated,2025
Gujarat,GJ_District_07,73967,38329,35638,86.81,1097,67.43,930,34993,Synthetic / Simulated,2025
Gujarat,GJ_District_08,80582,41520,39062,83.44,1361,59.21,941,44039,Synthetic / Simulated,2025
Gujarat,GJ_District_09,86457,44567,41890,84.48,1139,75.91,940,43633,Synthetic / Simulated,2025
Gujarat,GJ_District_10,96933,50765,46168,84.04,1155,83.92,909,52039,Synthetic / Simulated,2025
Gujarat,GJ_District_11,63375,32981,30394,81.02,1427,44.41,922,34996,Synthetic / Simulated,2025
Gujarat,GJ_District_12,111603,58605,52998,83.81,1081,103.24,904,53233,Synthetic / Simulated,2025
Gujarat,GJ_District_13,90948,47874,43074,86.74,1004,90.59,900,43317,Synthetic / Simulated,2025
Gujarat,GJ_District_14,84733,43664,41069,82.29,1576,53.76,941,45009,Synthetic / Simulated,2025
Gujarat,GJ_District_15,78746,41101,37645,85.45,1632,48.25,916,36750,Synthetic / Simulated,2025
Gujarat,GJ_District_16,64422,34067,30355,84.91,1400,46.02,891,27318,Synthetic / Simulated,2025
Gujarat,GJ_District_17,104979,54883,50096,83.21,1405,74.72,913,45482,Synthetic / Simulated,2025
Gujarat,GJ_District_18,79016,41432,37584,81.5,1263,62.56,907,42436,Synthetic / Simulated,2025
Gujarat,GJ_District_19,93236,48844,44392,84.41,1751,53.25,909,50124,Synthetic / Simulated,2025
Gujarat,GJ_District_20,86258,44847,41411,84.78,1921,44.9,923,45702,Synthetic / Simulated,2025
Haryana,HR_District_01,33556,18025,15531,84.43,986,34.03,862,13863,Synthetic / Simulated,2025
Haryana,HR_District_02,62833,32945,29888,80.93,2187,28.73,907,25964,Synthetic / Simulated,2025
Haryana,HR_District_03,49528,26164,23364,85.58,3048,16.25,893,21337,Synthetic / Simulated,2025
Haryana,HR_District_04,45224,23581,21643,82.15,2359,19.17,918,18638,Synthetic / Simulated,2025
Haryana,HR_District_05,52445,27817,24628,82.15,2600,20.17,885,19832,Synthetic / Simulated,2025
Haryana,HR_District_06,43979,23187,20792,87.4,3231,13.61,897,19579,Synthetic / Simulated,2025
Haryana,HR_District_07,62215,32840,29375,80.83,1938,32.1,894,27945,Synthetic / Simulated,2025
Haryana,HR_District_08,74135,39924,34211,82,1295,57.25,857,34036,Synthetic / Simulated,2025
Haryana,HR_District_09,54421,28436,25985,84.71,2106,25.84,914,25707,Synthetic / Simulated,2025
Haryana,HR_District_10,49027,25932,23095,81.7,2864,17.12,891,21814,Synthetic / Simulated,2025
Haryana,HR_District_11,77992,40921,37071,82.74,3024,25.79,906,32346,Synthetic / Simulated,2025
Haryana,HR_District_12,83291,44267,39024,82.31,2114,39.4,882,39478,Synthetic / Simulated,2025
Haryana,HR_District_13,54255,28997,25258,81.21,2721,19.94,871,23268,Synthetic / Simulated,2025
Haryana,HR_District_14,73988,38969,35019,85.19,3206,23.08,899,35558,Synthetic / Simulated,2025
Haryana,HR_District_15,71525,37346,34179,82.81,1797,39.8,915,30109,Synthetic / Simulated,2025
Haryana,HR_District_16,61793,32916,28877,83.99,3626,17.04,877,26551,Synthetic / Simulated,2025
Haryana,HR_District_17,69511,36638,32873,81.25,1250,55.61,897,30375,Synthetic / Simulated,2025
Haryana,HR_District_18,81736,42886,38850,81.58,3187,25.65,906,34827,Synthetic / Simulated,2025
Haryana,HR_District_19,78820,41925,36895,85.37,3779,20.86,880,38213,Synthetic / Simulated,2025
Haryana,HR_District_20,90837,48678,42159,82.01,2499,36.35,866,33027,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_01,41830,21300,20530,85.48,2983,14.02,964,8760,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_02,53206,26701,26505,82.92,4215,12.62,993,10157,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_03,46183,23832,22351,86.13,1334,34.62,938,14735,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_04,53041,27020,26021,88.75,3093,17.15,963,16559,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_05,50024,25652,24372,86.71,825,60.64,950,16984,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_06,57073,28967,28106,82.73,3047,18.73,970,13680,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_07,46371,23294,23077,88.46,3799,12.21,991,12723,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_08,37664,18893,18771,86.43,959,39.27,994,8126,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_09,32210,16534,15676,82.82,2602,12.38,948,11221,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_10,27305,14029,13276,87.36,951,28.71,946,8793,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_11,56172,29132,27040,89.34,5610,10.01,928,14133,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_12,55194,27730,27464,85.88,1887,29.25,990,15071,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_13,68914,35507,33407,89.3,6051,11.39,941,20815,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_14,47232,24240,22992,87.51,5462,8.65,949,11905,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_15,44096,22592,21504,86.02,5789,7.62,952,11634,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_16,50872,26197,24675,83.34,5890,8.64,942,15569,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_17,36525,18351,18174,83.45,1681,21.73,990,8722,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_18,43519,22160,21359,83.99,5804,7.5,964,14717,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_19,56197,28838,27359,84.34,2939,19.12,949,13978,Synthetic / Simulated,2025
Himachal Pradesh,HP_District_20,80218,40223,39995,85.59,1363,58.85,994,17207,Synthetic / Simulated,2025
Jharkhand,JH_District_01,50494,26664,23830,71.35,2462,20.51,894,16469,Synthetic / Simulated,2025
Jharkhand,JH_District_02,37695,19922,17773,71.56,2071,18.2,892,14428,Synthetic / Simulated,2025
Jharkhand,JH_District_03,81868,42628,39240,68.73,827,98.99,921,23791,Synthetic / Simulated,2025
Jharkhand,JH_District_04,46665,23937,22728,72.16,2847,16.39,949,13103,Synthetic / Simulated,2025
Jharkhand,JH_District_05,73961,38555,35406,69.44,2421,30.55,918,28719,Synthetic / Simulated,2025
Jharkhand,JH_District_06,66141,34492,31649,74.11,960,68.9,918,24593,Synthetic / Simulated,2025
Jharkhand,JH_District_07,42874,22443,20431,68.94,1695,25.29,910,15977,Synthetic / Simulated,2025
Jharkhand,JH_District_08,37575,19826,17749,71.8,1677,22.41,895,10689,Synthetic / Simulated,2025
Jharkhand,JH_District_09,51267,26622,24645,70.85,2936,17.46,926,18610,Synthetic / Simulated,2025
Jharkhand,JH_District_10,51794,26770,25024,69.87,2706,19.14,935,13191,Synthetic / Simulated,2025
Jharkhand,JH_District_11,80532,42592,37940,71.43,2845,28.31,891,20868,Synthetic / Simulated,2025
Jharkhand,JH_District_12,51038,26782,24256,73.07,1353,37.72,906,13633,Synthetic / Simulated,2025
Jharkhand,JH_District_13,78536,40231,38305,73.36,1299,60.46,952,19558,Synthetic / Simulated,2025
Jharkhand,JH_District_14,67729,35510,32219,72.9,2990,22.65,907,17184,Synthetic / Simulated,2025
Jharkhand,JH_District_15,81996,42010,39986,69.42,2068,39.65,952,25218,Synthetic / Simulated,2025
Jharkhand,JH_District_16,81390,42568,38822,70.2,2716,29.97,912,31481,Synthetic / Simulated,2025
Jharkhand,JH_District_17,103130,53599,49531,71.06,2216,46.54,924,31271,Synthetic / Simulated,2025
Jharkhand,JH_District_18,57815,29802,28013,69.8,2074,27.88,940,22200,Synthetic / Simulated,2025
Jharkhand,JH_District_19,62475,32834,29641,69.72,3116,20.05,903,18173,Synthetic / Simulated,2025
Jharkhand,JH_District_20,96709,49999,46710,69.04,3396,28.48,934,29297,Synthetic / Simulated,2025
Karnataka,KA_District_01,49317,25335,23982,88.76,856,57.61,947,26024,Synthetic / Simulated,2025
Karnataka,KA_District_02,92364,47369,44995,86.47,753,122.66,950,57535,Synthetic / Simulated,2025
Karnataka,KA_District_03,87673,46105,41568,86.11,622,140.95,902,48194,Synthetic / Simulated,2025
Karnataka,KA_District_04,77637,40504,37133,90.29,952,81.55,917,38117,Synthetic / Simulated,2025
Karnataka,KA_District_05,79688,41706,37982,85.99,971,82.07,911,48371,Synthetic / Simulated,2025
Karnataka,KA_District_06,48005,25294,22711,86.21,855,56.15,898,23526,Synthetic / Simulated,2025
Karnataka,KA_District_07,99733,51147,48586,86.52,985,101.25,950,55292,Synthetic / Simulated,2025
Karnataka,KA_District_08,66586,34571,32015,87.86,985,67.6,926,37751,Synthetic / Simulated,2025
Karnataka,KA_District_09,105240,55183,50057,89.79,962,109.4,907,56351,Synthetic / Simulated,2025
Karnataka,KA_District_10,84328,43962,40366,85.91,1087,77.58,918,43575,Synthetic / Simulated,2025
Karnataka,KA_District_11,88659,46264,42395,84.9,1181,75.07,916,49416,Synthetic / Simulated,2025
Karnataka,KA_District_12,88448,46294,42154,85.45,1323,66.85,911,55044,Synthetic / Simulated,2025
Karnataka,KA_District_13,109462,57764,51698,89.06,1231,88.92,895,54085,Synthetic / Simulated,2025
Karnataka,KA_District_14,75189,38672,36517,86.47,1263,59.53,944,36517,Synthetic / Simulated,2025
Karnataka,KA_District_15,64244,33969,30275,85.64,1130,56.85,891,36954,Synthetic / Simulated,2025
Karnataka,KA_District_16,109087,55751,53336,85.28,1212,90.01,957,66391,Synthetic / Simulated,2025
Karnataka,KA_District_17,83487,43879,39608,84.75,1217,68.6,903,44923,Synthetic / Simulated,2025
Karnataka,KA_District_18,79364,41922,37442,85.38,1373,57.8,893,47680,Synthetic / Simulated,2025
Karnataka,KA_District_19,90643,46956,43687,85.87,1368,66.26,930,56277,Synthetic / Simulated,2025
Karnataka,KA_District_20,112243,58898,53345,87.03,1426,78.71,906,64203,Synthetic / Simulated,2025
Kerala,KL_District_01,37255,18560,18695,93.59,1545,24.11,1007,26218,Synthetic / Simulated,2025
Kerala,KL_District_02,39762,19203,20559,95.53,861,46.18,1071,30091,Synthetic / Simulated,2025
Kerala,KL_District_03,65848,31973,33875,94.3,2293,28.72,1059,47140,Synthetic / Simulated,2025
Kerala,KL_District_04,52649,25586,27063,92,3221,16.35,1058,39391,Synthetic / Simulated,2025
Kerala,KL_District_05,73221,35285,37936,92.63,3522,20.79,1075,49486,Synthetic / Simulated,2025
Kerala,KL_District_06,69318,33535,35783,94.16,3575,19.39,1067,50527,Synthetic / Simulated,2025
Kerala,KL_District_07,74439,36088,38351,90.82,2689,27.68,1063,46341,Synthetic / Simulated,2025
Kerala,KL_District_08,48115,23702,24413,93.38,2328,20.67,1030,31606,Synthetic / Simulated,2025
Kerala,KL_District_09,67774,32699,35075,92.38,2682,25.27,1073,43695,Synthetic / Simulated,2025
Kerala,KL_District_10,36441,18049,18392,97.02,3039,11.99,1019,24512,Synthetic / Simulated,2025
Kerala,KL_District_11,52330,25231,27099,93.75,3349,15.63,1074,31714,Synthetic / Simulated,2025
Kerala,KL_District_12,69531,33669,35862,93.78,3660,19,1065,51917,Synthetic / Simulated,2025
Kerala,KL_District_13,72962,35847,37115,92.7,3783,19.29,1035,54979,Synthetic / Simulated,2025
Kerala,KL_District_14,92364,45007,47357,90.71,1167,79.15,1052,56650,Synthetic / Simulated,2025
Kerala,KL_District_15,78820,39033,39787,95.82,4108,19.19,1019,49401,Synthetic / Simulated,2025
Kerala,KL_District_16,85902,41888,44014,92.92,3261,26.34,1051,54086,Synthetic / Simulated,2025
Kerala,KL_District_17,68142,33863,34279,95.3,2359,28.89,1012,41251,Synthetic / Simulated,2025
Kerala,KL_District_18,73962,36595,37367,95.24,2103,35.17,1021,52947,Synthetic / Simulated,2025
Kerala,KL_District_19,68108,33538,34570,91.79,4061,16.77,1031,48515,Synthetic / Simulated,2025
Kerala,KL_District_20,77207,37719,39488,93.48,2495,30.94,1047,50643,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_01,54839,28606,26233,79.05,656,83.6,917,14833,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_02,60643,31198,29445,80.73,1040,58.31,944,25134,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_03,41549,21422,20127,75.8,1254,33.13,940,11215,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_04,69216,35814,33402,80.2,1485,46.61,933,18598,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_05,55886,29452,26434,74.83,1253,44.6,898,18080,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_06,91963,47164,44799,78.32,709,129.71,950,30555,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_07,66518,35098,31420,75.36,1315,50.58,895,17853,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_08,81488,42646,38842,81.11,771,105.69,911,21882,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_09,102751,52703,50048,79.18,1480,69.43,950,29857,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_10,71059,37584,33475,77.25,1544,46.02,891,20681,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_11,64817,34075,30742,80.09,1140,56.86,902,20123,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_12,71111,37124,33987,77.98,1346,52.83,915,26192,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_13,63650,32807,30843,77.61,1576,40.39,940,24604,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_14,84381,44094,40287,77.17,1169,72.18,914,31300,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_15,94882,49040,45842,80.08,1576,60.2,935,26087,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_16,88650,46645,42005,78.94,1743,50.86,901,24633,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_17,99914,52136,47778,77.54,1978,50.51,916,32191,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_18,72362,38166,34196,76.63,1509,47.95,896,28950,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_19,77710,40364,37346,78.99,1756,44.25,925,24001,Synthetic / Simulated,2025
Madhya Pradesh,MP_District_20,70792,37336,33456,78.28,1929,36.7,896,23966,Synthetic / Simulated,2025
Maharashtra,MH_District_01,85821,44525,41296,90.02,427,200.99,927,45603,Synthetic / Simulated,2025
